id,price_usd
3632,993377.12585
3633,201268.157143
2263404,206270.923469
2263405,92174.9742937
2263406,127843.384354
2263407,92174.9742937
2263408,92174.9742937
2263409,92174.9742937
2263410,131721.236858
2263411,97548.9731448
2263412,97548.9731448
2263413,97548.9731448
2263415,318378.707483
2263416,549456.019605
2263417,82608.5661204
2263418,82608.5661204
2263419,82608.5661204
2263420,82608.5661204
2263421,82608.5661204
2263422,82608.5661204
2263423,82608.5661204
2263424,82608.5661204
2263425,129651.827062
2263426,103488.638653
2263427,103488.638653
2263428,103488.638653
2263429,103488.638653
2263430,82608.5661204
2263431,82608.5661204
2263432,82608.5661204
2263433,82608.5661204
2263434,82608.5661204
2263436,82608.5661204
2263437,82608.5661204
2263438,82608.5661204
2263439,82608.5661204
2263440,82608.5661204
2263441,82608.5661204
2263442,82608.5661204
2263443,82608.5661204
2263444,82608.5661204
2263445,240000.0
2263453,114657.669296
2263460,318378.707483
2263461,318378.707483
2263464,87533.9956938
2263467,92400.541105
2263471,156242.244898
2263472,131910.0
2263476,317532.573666
2263477,325107.428115
2263480,197525.445135
2263482,264928.571429
2263633,760000.0
2263638,88131.8323337
2263652,318623.041713
2264067,89348.16631
2264075,104001.739491
2264078,184390.592415
2264079,157917.774014
2264080,671282.369615
2264151,78284.4897418
2264153,155000.0
2264155,320053.571429
2264158,88291.1799701
2264162,149792.387695
2264164,66764.2254252
2264168,267879.395238
2264173,66764.2254252
2264178,219967.210884
2264183,140453.192926
2264189,170239.285714
2264198,250753.061224
2264199,250753.061224
2264206,140453.192926
2264212,140453.192926
2264215,140453.192926
2264218,140453.192926
2264219,390497.44898
2264221,140453.192926
2264227,214034.93864
2264229,390497.44898
2264234,228783.349248
2264240,80031.6973187
2264242,92289.2559615
2264248,94487.6190476
2264249,265000.0
2264259,146100.0
2264265,16036.7952381
2264270,274875.0
2264272,38954.1190476
2264274,435539.731293
2264284,95000.0
2264285,112801.086019
2264286,112801.086019
2264290,292336.1
2264296,290000.0
2264298,314802.930839
2264305,78651.8517164
2264312,295000.0
2264318,115198.048968
2264320,165214.285714
2264323,480000.0
2264376,480000.0
2264474,350000.0
2264479,142171.315782
2264482,127763.171769
2264491,88541.1904762
2264514,126887.688409
2264518,192214.693878
2264525,130267.792313
2264537,140000.0
2264545,87066.2244898
2264549,99011.6180272
2264569,89996.597619
2264570,92039.4897959
2264571,89996.597619
2264572,92039.4897959
2264573,93104.3537415
2264574,130295.746097
2264575,65704.1096723
2264576,92039.4897959
2264577,93104.3537415
2264578,130500.88269
2264589,490000.0
2264598,140453.192926
2264600,140453.192926
2264603,140453.192926
2264604,140453.192926
2264607,140453.192926
2264610,140453.192926
2264617,188858.547009
2264618,95670.3900813
2264619,135533.290609
2264629,140428.626975
2264633,132319.578082
2264637,295536.98602
2264686,159390.844671
2264690,112585.510204
2264695,145000.0
2264699,186576.982993
2264702,102377.987238
2264709,87066.2244898
2264714,93315.952381
2264717,101858.70517
2264718,83701.7597619
2264723,196986.830612
2264731,179761.22449
2264732,1800000.0
2264733,769428.571429
2264734,365000.6
2264735,101582.410843
2264736,674280.612245
2264737,650000.0
2264744,674280.612245
2264745,340066.694932
2264747,674280.612245
2264756,115198.048968
