id,price_usd
3632,125496.429688
3633,72825.3046875
2263404,206489.828125
2263405,94945.2734375
2263406,128713.796875
2263407,94945.2734375
2263408,94945.2734375
2263409,94945.2734375
2263410,138684.25
2263411,98864.265625
2263412,98864.265625
2263413,98864.265625
2263415,319584.53125
2263416,562343.4375
2263417,88540.3203125
2263418,88540.3203125
2263419,88540.3203125
2263420,88540.3203125
2263421,88540.3203125
2263422,88540.3203125
2263423,88540.3203125
2263424,88540.3203125
2263425,128713.796875
2263426,106145.570312
2263427,106145.570312
2263428,106145.570312
2263429,106145.570312
2263430,88540.3203125
2263431,88540.3203125
2263432,88540.3203125
2263433,88540.3203125
2263434,88540.3203125
2263436,88540.3203125
2263437,88540.3203125
2263438,88540.3203125
2263439,88540.3203125
2263440,88540.3203125
2263441,88540.3203125
2263442,88540.3203125
2263443,88540.3203125
2263444,88540.3203125
2263445,240292.703125
2263453,115726.453125
2263460,319584.53125
2263461,319584.53125
2263464,88069.640625
2263467,92327.5546875
2263471,150242.515625
2263472,134135.859375
2263476,340949.53125
2263477,327041.78125
2263480,195044.078125
2263482,263137.28125
2263633,509757.25
2263638,85012.546875
2263652,325876.28125
2264067,82671.4921875
2264075,104512.90625
2264078,79576.484375
2264079,158248.265625
2264080,716315.3125
2264151,83556.953125
2264153,154095.96875
2264155,319584.53125
2264158,86968.7890625
2264162,116570.125
2264164,65563.3515625
2264168,234429.4375
2264173,65563.3515625
2264178,220371.3125
2264183,142032.5625
2264189,169406.46875
2264198,240220.78125
2264199,240220.78125
2264206,142032.5625
2264212,142032.5625
2264215,142032.5625
2264218,142032.5625
2264219,626966.3125
2264221,142032.5625
2264227,180637.59375
2264229,626966.3125
2264234,234501.359375
2264240,78754.3984375
2264242,94945.2734375
2264248,92327.5546875
2264249,263137.28125
2264259,146978.015625
2264265,16551.1328125
2264270,275130.25
2264272,43890.546875
2264274,498788.09375
2264284,94945.2734375
2264285,116225.882812
2264286,116225.882812
2264290,382997.09375
2264296,234429.4375
2264298,300198.75
2264305,99483.421875
2264312,294554.78125
2264318,125531.4375
2264320,128713.796875
2264323,479892.0625
2264376,479892.0625
2264474,519432.25
2264479,144681.28125
2264482,128731.351562
2264491,92216.5390625
2264514,125204.226562
2264518,194558.0625
2264525,124528.265625
2264537,135187.9375
2264545,92216.5390625
2264549,88749.9921875
2264569,88749.9921875
2264570,92216.5390625
2264571,88749.9921875
2264572,92216.5390625
2264573,92327.5546875
2264574,119602.382812
2264575,65563.3515625
2264576,92216.5390625
2264577,92327.5546875
2264578,134118.296875
2264589,488655.4375
2264598,142032.5625
2264600,142032.5625
2264603,142032.5625
2264604,142032.5625
2264607,142032.5625
2264610,142032.5625
2264617,212370.96875
2264618,88597.9453125
