id,price_usd
3632,982695.614035
3633,172469.332704
2263404,205545.492231
2263405,91093.2943227
2263406,119319.829574
2263407,91093.2943227
2263408,91093.2943227
2263409,91093.2943227
2263410,132088.888889
2263411,107412.809609
2263412,107412.809609
2263413,107412.809609
2263415,330063.220551
2263416,582223.500476
2263417,85910.3540465
2263418,85910.3540465
2263419,85910.3540465
2263420,85910.3540465
2263421,85910.3540465
2263422,85910.3540465
2263423,85910.3540465
2263424,85910.3540465
2263425,134179.562192
2263426,105019.294642
2263427,105019.294642
2263428,105019.294642
2263429,105019.294642
2263430,85910.3540465
2263431,85910.3540465
2263432,85910.3540465
2263433,85910.3540465
2263434,85910.3540465
2263436,85910.3540465
2263437,85910.3540465
2263438,85910.3540465
2263439,85910.3540465
2263440,85910.3540465
2263441,85910.3540465
2263442,85910.3540465
2263443,85910.3540465
2263444,85910.3540465
2263445,239723.14386
2263453,112305.15267
2263460,330063.220551
2263461,330063.220551
2263464,88659.4074931
2263467,91676.3185492
2263471,144107.26817
2263472,132128.929825
2263476,351432.392231
2263477,300219.754386
2263480,197676.414035
2263482,260116.062406
2263633,530706.140351
2263638,84227.0230826
2263652,276581.453634
2264067,87070.5221387
2264075,107636.685303
2264078,79605.3052632
2264079,156739.493985
2264080,692105.263158
2264151,82044.1293354
2264153,155040.0
2264155,319768.421053
2264158,88827.9668685
2264162,183786.463826
2264164,66031.5789474
2264168,243932.312865
2264173,66031.5789474
2264178,221675.789474
2264183,140402.502678
2264189,169849.940351
2264198,129763.508772
2264199,129763.508772
2264206,140402.502678
2264212,140402.502678
2264215,140402.502678
2264218,140402.502678
2264219,417192.282456
2264221,140402.502678
2264227,180918.187135
2264229,417192.282456
2264234,231146.321
2264240,83455.4114824
2264242,95224.6632848
2264248,71039.1957393
2264249,266027.438192
2264259,146020.760234
2264265,146722.792982
2264270,298663.726316
2264272,39130.3498747
2264274,433587.468672
2264284,95024.754386
2264285,110867.599669
2264286,110867.599669
2264290,312170.803324
2264296,286948.775439
2264298,301501.60401
2264305,76611.1857468
2264312,294042.105263
2264318,119419.657788
2264320,164944.096366
2264323,480894.736842
2264376,480894.736842
2264474,337667.798997
2264479,119787.166015
2264482,128547.368421
2264491,120270.254964
2264514,128891.136591
2264518,193762.344877
2264525,125955.212782
